12 |2024-04-27 01:35:19.8149 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-27 01:35:19.8149 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
12 |2024-04-27 01:35:19.8497 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 3
12 |2024-04-27 01:35:19.8497 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
24 |2024-04-27 01:35:21.8534 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
24 |2024-04-27 01:35:21.8987 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
24 |2024-04-27 01:35:21.8987 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
24 |2024-04-27 01:35:21.9349 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
24 |2024-04-27 01:35:21.9349 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
24 |2024-04-27 01:35:21.9613 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
